Species,Group
Malacoceros girardi,3
Malacoceros,3
Scolelepis fuliginosa,3
Maldane glebifex,1
Manayunkia aestuarina,2
Mangelia attenuata,1
Bela nebula,1
Mangelia costulata,1
Mangelia,1
Marphysa bellii,2
Marphysa fallax,2
Marphysa sanguinea,2
Marphysa,2
Marphysa,2
Marthasterias glacialis,1
Mediomastus fragilis,3
Megaluropus agilis,1
Megamphopus cornutus,1
Melinna cristata,3
Melinna palmata,3
Melinna,3
Abludomelita gladiosa,1
Melita palmata,3
Ficopomatus enigmaticus,2
Metaphoxus fultoni,1
Metaphoxus pectinatus,1
Microdeutopus anomalus,1
Microdeutopus damnoniensis,1
Microdeutopus,1
Microdeutopus stationis,1
Microdeutopus versiculatus,1
Modiolula phaseolina,1
Modiolus barbatus,1
Modiolus gallicus,1
Modiolus modiolus,1
Monoculodes carinatus,1
Monopylephorus irroratus,5
Tellimya ferruginosa,2
Musculus discors,1
Mya arenaria,2
Myrtea spinifera,1
Kurtiella bidentata,1
Mysia undata,1
Mysida,2
Hesionura elongata,2
Pseudomystides limbata,2
Mytilaster minimus,1
Mytilus edulis,3
Nassarius incrassatus,2
Nassarius reticulatus,2
Euspira nitida,2
Euspira catena,2
Neanthes caudata,3
Neanthes irrorata,3
Neanthes,3
Neanthes,3
Nebalia bipes,5
Nebalia,5
Sarsinebalia typhlops,2
Nematoda,3
Lysidice unicornis,2
Nemertea,3
Nephtys assimilis,2
Nephtys caeca,2
Nephtys paradoxa,2
Nephtys cirrosa,2
Nephtys hombergii,2
Nephtys hystricis,2
Nephtys incisa,2
Nephtys,2
Nephtys kersivalensis,2
Nephtys paradoxa,2
Nephtys,2
Nephtys,2
Nephtys,2
Nereimyra punctata,3
Nereis caudata,4
Nereis lamellosa,3
Hediste diversicolor,3
Eunereis longissima,3
Nereis,3
Nothria geophiliformis,2
Paradiopatra lepta,2
Nothria,2
Irus irus,1
Notomastus latericeus,3
Notomastus (Clistomastus) lineatus,3
Notomastus,3
Nucula nitidosa,1
Nucula nitidosa,1
Nucula nucleus,1
Nucula,1
Nucula sulcata,1
Nucula turgida,1
Ocenebra erinaceus,2
Odostomia,2
Oligochaeta,5
Onuphidae,2
Onuphis geophiliformis,2
Nothria conchylega,2
Onuphis eremita,2
Ophelia bicornis,1
Acrocnida brachiata,1
Ophiocomina nigra,1
Oxydromus flexuosus,2
Ophiopsila aranea,1
Ophiothrix fragilis,1
Ophiura albida,2
Ophiura ophiura,2
Ophiura,2
Ophiura ophiura,2
Ophiura ophiura,2
Ophryotrocha labronica,2
Ophryotrocha puerilis,2
Ophryotrocha,2
Ostrea edulis,1
Owenia fusiformis,1
Owenia fusiformis,1
Pachygrapsus marmoratus,2
Paguroidea,1
Pagurus bernhardus,1
Pagurus prideaux,1
Pagurus,1
Palaemon serratus,1
Pandora albida,1
Pandora inaequivalvis,1
Pandora pinna,1
Iphimedia minuta,1
Paradoneis armata,3
Paradoneis lyra,3
Paragnathia formica,3
Parapionosyllis gestans,2
Parapionosyllis gestans,2
Parapionosyllis labronica,2
Parapionosyllis minuta,2
Parapionosyllis,2
Parathelepus,1
Pariambus typicus,3
Pariambus typicus varinermis,3
Parvicardium exiguum,1
Parvicardium minimum,1
Parvicardium pinnulatum,1
Cardium papillosum,1
Parvicardium scabrum,1
Amphictene auricoma,1
Lagis koreni,1
Pectinaria,1
Perinereis cultrifera,3
Perioculodes longimanus,1
Pharus legumen,1
Phascolion (Phascolion) strombus strombus,1
Phascolion (Phascolion) strombus strombus,1
Golfingia (Golfingia) elongata,1
Phascolosoma (Phascolosoma) granulatum,2
Golfingia (Golfingia) vulgaris vulgaris,1
Phaxas pellucidus,1
Pherusa monilifera,1
Pherusa plumosa,1
Pherusa,1
Philine aperta,2
Philine scabra,2
Philine,2
Pholoe minuta,2
Pholoe inornata,2
Phoronis psammophila,1
Photis longicaudata,1
Phoxocephalus rudolphii,1
Phtisica marina,1
Phyllodoce groenlandica,2
Phyllodoce (Carobia) lamelligera,2
Phyllodoce laminosa,2
Phyllodoce lineata,2
Phyllodoce longipes,2
Phyllodoce maculata,2
Phyllodoce mucosa,3
Nereiphylla paretti,2
Phyllodoce rosea,2
Phyllodoce,2
Philocheras bispinosus bispinosus,1
Philocheras monacanthus,1
Philocheras trispinosus,1
Pilargis verrucosa,1
Pilumnus hirtellus,1
Nudisyllis pulligera,2
Pisidia longicornis,1
Pisidium,1
Pisione remota,2
Pista cristata,1
Plakosyllis brevipes,2
Plathelmintes,2
Platynereis dumerilii,3
Pleuronectidae,2
Poecilochaetus serpens,1
Poecilochaetus serpens,1
Polycirrus aurantiacus,4
Polycirrus medusa,4
Polycirrus medusa,4
Polycirrus,4
Polycirrus tenuisetis,4
Pseudopolydora antennata,4
Dipolydora coeca,4
Polydora ciliata,4
Polydora flava,4
Polydora,4
Boccardiella ligerica,4
Polydora cornuta,4
Boccardia polybranchia,4
Pseudopolydora pulchra,4
Polydora,4
Polygordius appendiculatus,1
Eupolymnia nebulosa,3
Polynoe scolopendrina,2
Polyophthalmus pictus,1
Pontocrates altamarinus,1
Pontocrates arenarius,1
Portumnus latipes,1
Potamopyrgus antipodarum,2
Prionospio caspersi,4
Prionospio cirrifera,4
Prionospio (Prionospio) ehlersi,4
Prionospio fallax,4
Prionospio malmgreni,4
Prionospio multibranchiata,4
Prionospio,4
Prionospio steenstrupi,4
Processa canaliculata,1
Processa modica modica,1
Processa nouveli nouveli,1
Processa parva,1
Processa,1
Protodorvillea kefersteini,2
Psammechinus miliaris,1
Gari costulata,1
Pelogenia arenosa,2
Salvatoria,2
Pseudocuma (Pseudocuma) longicorne,2
Pseudocuma similis,2
Pseudocuma,2
Pseudopolydora antennata,4
Pseudopolydora paucibranchiata,4
Pseudopolydora pulchra,4
Pseudopolydora,4
Trypanosyllis (Trypanosyllis) coeliaca,2
Trypanosyllis,2
Pygospio elegans,3
Tellina serrata,1
Raphitoma purpurea,1
Raphitoma,1
Retusa truncatula,1
Retusa umbilicata,1
Ringicula auriculata,1
Ringicula conformis,1
Ringicula,1
Sabella pavonina,1
Sabella,1
Sabellaria alveolata,1
Sabellaria spinulosa,1
Scalibregma inflatum,3
Scaphander lignarius,1
Schistomeringos caeca,2
Schistomeringos rudolphii,4
Scolaricia,1
Scolaricia typica,1
Malacoceros fuliginosus,5
Scolelepis,3
Scolelepis (Scolelepis) squamata,3
Scoloplos (Scoloplos) armiger,1
Scrobicularia plana,3
Sertulariidae,1
Idunella longirostris,2
Sigalion mathildae,2
Sigalion mathildae,2
Sigalion squamosus,2
Siphonoecetes (Centraloecetes) kroyeranus,1
Siphonoecetes,1
Siphonoecetes (Centraloecetes) striatus,1
Sipuncula,1
Skenea,3
Solen marginatus,1
Solenacea,1
Lekanesphaera monodi,2
Lekanesphaera rugicauda,2
Sphaeroma serratum,2
Sphaerosyllis bulbosa,2
Sphaerosyllis hystrix,2
Sphaerosyllis pirifera,2
Sphaerosyllis,2
Sphaerosyllis taylori,2
Sphenia binghami,1
Spio armata,3
Spio decoratus,3
Spio filicornis,3
Spio martinensis,3
Spio,3
Spiochaetopterus costarum,3
Spiochaetopterus,3
Spiochaetopterus typicus,3
Spiophanes bombyx,3
Spiophanes kroyeri,3
Spisula elliptica,1
Spisula solida,1
Spisula subtruncata,1
Schistomeringos rudolphii,4
Stenothoe monoculoides,2
Stenothoidae,2
Sternaspis scutata,3
Sthenelais boa,2
Fimbriosthenelais minor,2
Sthenelais limicola,2
Fimbriosthenelais minor,2
Sthenelais,2
Streblospio shrubsolii,3
Streblospio shrubsolii,3
Striarca lactea,1
Sycon ciliatum,1
Sycon raphanus,1
Syllis cornuta,2
Syllis gerlachi,2
Syllis gracilis,2
Syllis prolifera,2
Syllis,2
Syllis variegata,2
Synchelidium haplocheles,1
Synchelidium maculatum,1
Ruditapes decussatus,1
Spiochaetopterus costarum,1
Angulus tenuis,1
Tellimya ferruginosa,2
Tellina compressa,1
Moerella donacina,1
Angulus fabula,1
Angulus pygmaeus,1
Angulus pygmaeus,1
Tellina,1
Tellina squalida,1
Angulus tenuis,1
Terebella lapidaria,1
Terebellides stroemii,1
Terebellomorpha,2
Thalassema thalassemum,1
Thia scutellata,2
Tholarus cranchii,1
Thracia phaseolina,1
Thracia villosiuscula,1
Thyasira flexuosa,3
Thyone fusus,1
Timoclea ovata,1
Tonicella marmorea,1
Tricolia pullus,1
Marshallora adversa,1
Triphora aspera,1
Monophorus perversus,1
Trivia monacha,1
Trophonopsis muricata,1
Tryphosella nanoides,1
Tryphosella sarsi,1
Tryphosites longipes,2
Tubificoides benedii,5
Tubificoides pseudogaster,5
